function,Accuracy,RMSE,F1,F1 neg,tnr,fpr,fnr,tpr,tn,fp,fn,tp,train,test,self/cross
AR ground truth,0.978,0.1483,0.9871,0.924,0.87,0.13,0.00242,0.998,456,68,7,2880,H1,H1,self
AR ground truth,0.9638,0.1903,0.9726,0.9464,0.942,0.0584,0.0248,0.975,645,40,33,1298,H2,H2,self
AR ground truth,0.9645,0.1883,0.9784,0.9017,0.868,0.132,0.0131,0.987,656,100,43,3233,H3,H3,self
AR ground truth,0.9583,0.2041,0.976,0.8433,0.801,0.199,0.0161,0.984,226,56,28,1706,H4,H4,self
AR ground truth,0.9786,0.1463,0.988,0.9034,0.906,0.0942,0.0124,0.988,173,18,19,1518,H5,H5,self
AR ground truth,0.9232,0.2772,0.8764,0.9443,0.909,0.0909,0.0413,0.959,2999,300,54,1255,H6,H6,self
AR ground truth,0.3894,0.7814,0.1398,0.5267,1.0,0.0,0.925,0.0751,685,0,1231,100,H1,H2,cross
AR ground truth,0.9313,0.2621,0.9592,0.7838,0.664,0.336,0.00702,0.993,502,254,23,3253,H1,H3,cross
AR ground truth,0.1399,0.9274,0.0,0.2454,1.0,0.0,1.0,0.0,282,0,1734,0,H1,H4,cross
AR ground truth,0.9525,0.2178,0.9728,0.8119,0.927,0.0733,0.0442,0.956,177,14,68,1469,H1,H5,cross
AR ground truth,0.7172,0.5318,0.009125,0.8351,1.0,0.0,0.995,0.00458,3299,0,1303,6,H1,H6,cross
AR ground truth,0.9211,0.2808,0.9554,0.6582,0.494,0.506,0.00139,0.999,259,265,4,2883,H2,H1,cross
AR ground truth,0.9216,0.28,0.9535,0.7504,0.628,0.372,0.0107,0.989,475,281,35,3241,H2,H3,cross
AR ground truth,0.7679,0.4818,0.845,0.5375,0.965,0.0355,0.264,0.736,272,10,458,1276,H2,H4,cross
AR ground truth,0.9682,0.1784,0.9823,0.8387,0.749,0.251,0.00455,0.995,143,48,7,1530,H2,H5,cross
AR ground truth,0.8687,0.3623,0.8085,0.9001,0.826,0.174,0.0244,0.976,2726,573,32,1277,H2,H6,cross
AR ground truth,0.9657,0.1852,0.9798,0.8856,0.865,0.135,0.0159,0.984,453,71,46,2841,H3,H1,cross
AR ground truth,0.4692,0.7285,0.3279,0.5615,1.0,0.0,0.804,0.196,685,0,1070,261,H3,H2,cross
AR ground truth,0.1399,0.9274,0.0,0.2454,1.0,0.0,1.0,0.0,282,0,1734,0,H3,H4,cross
AR ground truth,0.8206,0.4236,0.889,0.5317,0.921,0.0785,0.192,0.808,176,15,295,1242,H3,H5,cross
AR ground truth,0.7569,0.493,0.2523,0.8549,1.0,0.0,0.856,0.144,3299,0,1120,189,H3,H6,cross
AR ground truth,0.9355,0.254,0.9633,0.7349,0.582,0.418,0.000346,1.0,305,219,1,2886,H4,H1,cross
AR ground truth,0.9415,0.2419,0.9569,0.9088,0.858,0.142,0.0158,0.984,588,97,21,1310,H4,H2,cross
AR ground truth,0.9608,0.198,0.9763,0.8876,0.825,0.175,0.00794,0.992,624,132,26,3250,H4,H3,cross
AR ground truth,0.9769,0.1521,0.9871,0.8876,0.827,0.173,0.00455,0.995,158,33,7,1530,H4,H5,cross
AR ground truth,0.3179,0.8259,0.4542,0.09083,0.0476,0.952,0.000764,0.999,157,3142,1,1308,H4,H6,cross
AR ground truth,0.9883,0.1083,0.9931,0.961,0.941,0.0592,0.00312,0.997,493,31,9,2878,H5,H1,cross
AR ground truth,0.4539,0.739,0.2965,0.5537,0.997,0.00292,0.826,0.174,683,2,1099,232,H5,H2,cross
AR ground truth,0.9489,0.226,0.9692,0.8505,0.775,0.225,0.011,0.989,586,170,36,3240,H5,H3,cross
AR ground truth,0.1399,0.9274,0.0,0.2454,1.0,0.0,1.0,0.0,282,0,1734,0,H5,H4,cross
AR ground truth,0.7266,0.5229,0.07216,0.8397,1.0,0.0,0.963,0.0374,3299,0,1260,49,H5,H6,cross
AR ground truth,0.9663,0.1836,0.9802,0.8869,0.861,0.139,0.0145,0.985,451,73,42,2845,H6,H1,cross
AR ground truth,0.932,0.2607,0.949,0.8981,0.882,0.118,0.0421,0.958,604,81,56,1275,H6,H2,cross
AR ground truth,0.935,0.2549,0.9605,0.8165,0.771,0.229,0.0272,0.973,583,173,89,3187,H6,H3,cross
AR ground truth,0.9554,0.2113,0.9745,0.8207,0.73,0.27,0.00807,0.992,206,76,14,1720,H6,H4,cross
AR ground truth,0.9578,0.2055,0.9765,0.7872,0.707,0.293,0.0111,0.989,135,56,17,1520,H6,H5,cross
AR predictions,0.8775,0.3501,0.9279,0.5934,0.582,0.418,0.0689,0.931,305,219,199,2688,H1,H1,self
AR predictions,0.7981,0.4493,0.847,0.7031,0.704,0.296,0.153,0.847,482,203,204,1127,H2,H2,self
AR predictions,0.9187,0.2852,0.9514,0.7511,0.655,0.345,0.0205,0.98,495,261,67,3209,H3,H3,self
AR predictions,0.7604,0.4895,0.8625,0.06936,0.0638,0.936,0.126,0.874,18,264,219,1515,H4,H4,self
AR predictions,0.7332,0.5165,0.8402,0.1926,0.288,0.712,0.211,0.789,55,136,325,1212,H5,H5,self
AR predictions,0.4789,0.7218,0.3633,0.559,0.461,0.539,0.477,0.523,1522,1777,624,685,H6,H6,self
AR predictions,0.3423,0.811,0.007485,0.5082,1.0,0.0,0.996,0.00376,685,0,1326,5,H1,H2,cross
AR predictions,0.8428,0.3965,0.9117,0.2795,0.163,0.837,0.000305,1.0,123,633,1,3275,H1,H3,cross
AR predictions,0.1399,0.9274,0.0,0.2454,1.0,0.0,1.0,0.0,282,0,1734,0,H1,H4,cross
AR predictions,0.6424,0.598,0.7666,0.2351,0.497,0.503,0.34,0.66,95,96,522,1015,H1,H5,cross
AR predictions,0.7159,0.533,0.0,0.8345,1.0,0.0,1.0,0.0,3299,0,1309,0,H1,H6,cross
AR predictions,0.8566,0.3786,0.9219,0.1252,0.0668,0.933,0.0,1.0,35,489,0,2887,H2,H1,cross
AR predictions,0.8194,0.4249,0.8994,0.1165,0.0635,0.937,0.00611,0.994,48,708,20,3256,H2,H3,cross
AR predictions,0.2133,0.887,0.16,0.2603,0.989,0.0106,0.913,0.0871,279,3,1583,151,H2,H4,cross
AR predictions,0.8895,0.3325,0.9415,0.0,0.0,1.0,0.0,1.0,0,191,0,1537,H2,H5,cross
AR predictions,0.4184,0.7626,0.4864,0.3297,0.2,0.8,0.0306,0.969,659,2640,40,1269,H2,H6,cross
AR predictions,0.8502,0.3871,0.9082,0.5928,0.71,0.29,0.124,0.876,372,152,359,2528,H3,H1,cross
AR predictions,0.3522,0.8049,0.03687,0.512,1.0,0.0,0.981,0.0188,685,0,1306,25,H3,H2,cross
AR predictions,0.1399,0.9274,0.0,0.2454,1.0,0.0,1.0,0.0,282,0,1734,0,H3,H4,cross
AR predictions,0.3802,0.7873,0.4653,0.2629,1.0,0.0,0.697,0.303,191,0,1071,466,H3,H5,cross
AR predictions,0.7318,0.5179,0.1056,0.8422,1.0,0.0,0.944,0.0558,3299,0,1236,73,H3,H6,cross
AR predictions,0.8464,0.3919,0.9168,0.0,0.0,1.0,0.0,1.0,0,524,0,2887,H4,H1,cross
AR predictions,0.7093,0.5391,0.8105,0.3766,0.258,0.742,0.0586,0.941,177,508,78,1253,H4,H2,cross
AR predictions,0.8433,0.3959,0.9105,0.368,0.243,0.757,0.0183,0.982,184,572,60,3216,H4,H3,cross
AR predictions,0.8912,0.3298,0.9424,0.03093,0.0157,0.984,0.0,1.0,3,188,0,1537,H4,H5,cross
AR predictions,0.2841,0.8461,0.4425,0.0,0.0,1.0,0.0,1.0,0,3299,0,1309,H4,H6,cross
AR predictions,0.9112,0.298,0.9496,0.6245,0.481,0.519,0.0107,0.989,252,272,31,2856,H5,H1,cross
AR predictions,0.3447,0.8095,0.01491,0.5091,1.0,0.0,0.992,0.00751,685,0,1321,10,H5,H2,cross
AR predictions,0.8259,0.4173,0.9032,0.1333,0.0714,0.929,0.0,1.0,54,702,0,3276,H5,H3,cross
AR predictions,0.1399,0.9274,0.0,0.2454,1.0,0.0,1.0,0.0,282,0,1734,0,H5,H4,cross
AR predictions,0.7159,0.533,0.0,0.8345,1.0,0.0,1.0,0.0,3299,0,1309,0,H5,H6,cross
AR predictions,0.7318,0.5179,0.8426,0.09136,0.0878,0.912,0.151,0.849,46,478,437,2450,H6,H1,cross
AR predictions,0.6657,0.5782,0.7978,0.03438,0.0175,0.982,0.000751,0.999,12,673,1,1330,H6,H2,cross
AR predictions,0.815,0.4301,0.8962,0.1503,0.0873,0.913,0.0171,0.983,66,690,56,3220,H6,H3,cross
AR predictions,0.8601,0.374,0.9248,0.0,0.0,1.0,0.0,1.0,0,282,0,1734,H6,H4,cross
AR predictions,0.8351,0.4061,0.9084,0.1691,0.152,0.848,0.08,0.92,29,162,123,1414,H6,H5,cross
Nonparametric,0.7989,0.4485,0.8837,0.2576,0.227,0.773,0.0973,0.903,119,405,281,2606,H1,H1,self
Nonparametric,0.6528,0.5893,0.7278,0.5205,0.555,0.445,0.297,0.703,380,305,395,936,H2,H2,self
Nonparametric,0.813,0.4324,0.8896,0.39,0.319,0.681,0.073,0.927,241,515,239,3037,H3,H3,self
Nonparametric,0.8328,0.4089,0.9087,0.0059,0.00355,0.996,0.0323,0.968,1,281,56,1678,H4,H4,self
Nonparametric,0.8044,0.4423,0.8878,0.2387,0.277,0.723,0.13,0.87,53,138,200,1337,H5,H5,self
